partCode	permut	cont_cueav_csplusav	cont_cueav_csplusneu	cont_cueav_csminus	cont_cueneu_csplusav	cont_cueneu_csplusneu	cont_cueneu_csminus	cont_cuenothing_csplusav	cont_cuenothing_csplusneu	cont_cuenothing_csminus
AB09ER21	3	100	0	0	0	80	0	0	20	100
AL05IM24	1	80	0	0	0	70	0	0	0	80
AY05LI06	2	100	0	0	0	100	0	0	0	100
BE06ND04	1	100	0	0	0	100	0	0	0	100
CH05ER11	1	80	0	0	0	60	0	0	0	90
CH08AN26	3	100	0	0	0	100	0	0	0	100
CK06RT15	3	60	0	0	0	50	0	0	0	40
EK08ER20	2	100	0	0	0	90	0	0	10	100
EN07LF06	3	50	0	0	0	50	0	0	0	50
EN09RD15	1	60	50	50	20	30	10	20	20	40
ER05EL20	1	30	0	0	0	40	0	0	0	30
ER07AS29	3	65	0	0	0	75	0	0	0	65
EZ06EN21	2	70	0	0	0	60	0	0	0	50
IN05IM17	3	90	0	0	0	70	0	0	0	80
JA05RL22	2	90	10	5	10	80	5	0	10	90
LE06KO07	1	90	0	0	10	100	10	0	0	90
LL06ER17	3	100	0	0	0	100	0	0	0	100
LT07EL10	1	100	0	0	0	100	0	0	0	100
NE08IM07	3	90	60	20	10	90	50	0	10	90
NN09AS30	2	30	10	60	30	60	20	20	20	10
OP05IG02	2	90	0	0	0	95	0	0	0	95
SS08NN01	2	40	10	40	40	60	30	10	30	30
UN05WE18	2	40	0	0	0	40	0	0	0	40
UN06AS18	1	70	0	0	0	70	0	0	0	70
