"partCode","gender","age","handedness","group","cs_permut","cue_permut","contAware","unpleas_csplus_av_1","unpleas_csplus_av_2","unpleas_csplus_av_3","unpleas_csplus_av_4","unpleas_csplus_neu_1","unpleas_csplus_neu_2","unpleas_csplus_neu_3","unpleas_csplus_neu_4","unpleas_csminus_1","unpleas_csminus_2","unpleas_csminus_3","unpleas_csminus_4","arous_csplus_av_1","arous_csplus_av_2","arous_csplus_av_3","arous_csplus_av_4","arous_csplus_neu_1","arous_csplus_neu_2","arous_csplus_neu_3","arous_csplus_neu_4","arous_csminus_1","arous_csminus_2","arous_csminus_3","arous_csminus_4","anx_csplus_av_1","anx_csplus_av_2","anx_csplus_av_3","anx_csplus_av_4","anx_csplus_neu_1","anx_csplus_neu_2","anx_csplus_neu_3","anx_csplus_neu_4","anx_csminus_1","anx_csminus_2","anx_csminus_3","anx_csminus_4","ang_csplus_av_1","ang_csplus_av_2","ang_csplus_av_3","ang_csplus_av_4","ang_csplus_neu_1","ang_csplus_neu_2","ang_csplus_neu_3","ang_csplus_neu_4","ang_csminus_1","ang_csminus_2","ang_csminus_3","ang_csminus_4","dis_csplus_av_1","dis_csplus_av_2","dis_csplus_av_3","dis_csplus_av_4","dis_csplus_neu_1","dis_csplus_neu_2","dis_csplus_neu_3","dis_csplus_neu_4","dis_csminus_1","dis_csminus_2","dis_csminus_3","dis_csminus_4","unpleas_cue_av_1","unpleas_cue_av_2","unpleas_cue_av_3","unpleas_cue_neu_1","unpleas_cue_neu_2","unpleas_cue_neu_3","unpleas_cue_minus_1","unpleas_cue_minus_2","unpleas_cue_minus_3","add_learn_trials","unpleas_us_av_1","unpleas_us_av_2","unpleas_us_av_3","unpleas_us_neu_1","unpleas_us_neu_2","unpleas_us_neu_3","cont_usav_csplusav","cont_usav_csplusneu","cont_usav_csminus","cont_usneu_csplusav","cont_usneu_csplusneu","cont_usneu_csminus","cont_cueav_csplusav","cont_cueav_csplusneu","cont_cueav_csminus","cont_cueneu_csplusav","cont_cueneu_csplusneu","cont_cueneu_csminus","cont_cuenothing_csplusav","cont_cuenothing_csplusneu","cont_cuenothing_csminus"
"AB09ER21","female",26,"right","ima",3,2,TRUE,4,5,5,5,3,2,3,3,2,2,2,2,3,4,5,4,2,1,1,1,1,1,1,1,2,3,4,2,1,1,1,1,1,1,1,1,2,3,4,3,1,1,1,1,1,1,1,1,3,4,5,4,2,1,1,1,1,1,1,1,8,9,8,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,80,0,0,20,100
"AL05IM24","male",27,"right","ima",1,2,TRUE,3,4,3,3,4,4,4,4,3,2,2,2,1,3,3,3,1,3,3,3,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,3,3,3,3,3,1,1,1,1,2,2,2,2,3,4,4,3,1,1,1,1,8,7,8,4,2,3,0,0,99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,0,0,0,70,0,0,0,80
"AN06US04","female",27,"right","real",1,NA,TRUE,5,4,4,4,5,4,3,3,3,3,3,3,4,4,4,5,3,2,3,5,3,2,1,1,4,2,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,8,3,0,0,2,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AU07NS21","female",25,"right","real",2,NA,TRUE,3,3,3,3,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,2,3,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,7,10,4,5,4,2,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AY05LI06","female",24,"right","ima",2,3,TRUE,3,3,4,4,2,2,2,3,3,4,3,2,3,3,4,4,3,3,3,3,2,4,4,3,3,1,3,2,1,1,1,1,2,1,2,1,1,1,5,4,1,1,1,2,1,2,3,1,2,1,4,3,1,1,2,4,1,1,1,2,9,10,9,99,99,7,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,100,0,0,0,100
"BE06ND04","female",25,"right","ima",1,1,TRUE,3,4,4,4,3,3,2,2,4,4,3,3,1,1,1,1,1,1,2,3,1,1,2,1,3,3,3,3,1,1,1,1,2,2,1,1,1,2,3,3,1,1,1,1,1,1,1,1,1,2,3,2,1,1,1,1,3,3,2,2,5,5,5,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,100,0,0,0,100
"CH05ER11","male",22,"right","ima",1,1,TRUE,4,4,5,5,2,2,3,3,1,1,1,1,3,4,4,4,4,3,3,2,4,4,2,2,4,3,4,5,1,1,2,2,1,1,1,1,3,4,5,5,1,1,3,3,1,1,1,1,4,4,5,5,2,2,3,2,1,1,1,1,9,9,10,2,3,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,0,0,0,60,0,0,0,90
"CH08AN26","female",22,"right","ima",3,3,TRUE,3,3,4,4,4,2,3,2,3,3,2,1,1,3,4,5,3,1,2,3,2,2,3,2,1,2,3,4,2,2,1,2,1,1,1,1,1,1,2,4,1,1,1,2,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,3,6,8,1,4,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,100,0,0,0,100
"CK06RT15","female",27,"right","ima",3,1,TRUE,3,4,4,5,4,5,3,4,3,2,2,2,3,3,4,3,3,3,3,3,3,3,3,1,4,3,3,4,3,3,3,4,3,2,1,1,3,4,5,5,3,4,4,3,1,3,1,1,4,4,4,4,4,4,3,4,2,2,1,1,10,9,10,2,4,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,0,0,0,50,0,0,0,40
"EK08ER20","female",23,"right","ima",2,2,TRUE,3,1,1,2,3,2,2,3,4,3,2,3,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,99,3,4,1,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,90,0,0,10,100
