partCode	scr_Akqall_51_norm	scr_Akqall_52_norm	scr_Akqall_53_norm	scr_Akq1_51_norm	scr_Akq1_52_norm	scr_Akq1_53_norm	scr_Akq2_51_norm	scr_Akq2_52_norm	scr_Akq2_53_norm	scr_Akqall_51_raw	scr_Akqall_52_raw	scr_Akqall_53_raw	scr_Akq1_51_raw	scr_Akq1_52_raw	scr_Akq1_53_raw	scr_Akq2_51_raw	scr_Akq2_52_raw	scr_Akq2_53_raw	
AB09ER21	-0.001133	0.093896	0.054949	-0.003350	0.063652	-0.011313	0.001084	0.124139	0.121211	-0.001694	0.140381	0.082153	-0.005008	0.095165	-0.016914	0.001621	0.185598	0.181220	
AL05IM24	0.034820	0.024413	0.068017	0.060665	0.052685	-0.008063	0.008974	-0.003858	0.144097	0.054267	0.038048	0.106005	0.094547	0.082110	-0.012566	0.013986	-0.006013	0.224576	
AN06US04	0.126297	-0.055430	0.129999	0.280855	-0.066475	0.324901	-0.028261	-0.044386	-0.064902	0.029234	-0.012831	0.030091	0.065010	-0.015387	0.075205	-0.006542	-0.010274	-0.015023	
AU07NS21	0.263005	-0.013912	0.060808	0.104711	-0.026741	0.064857	0.421299	-0.001083	0.056760	0.206590	-0.010928	0.047765	0.082250	-0.021005	0.050945	0.330930	-0.000850	0.044585	
AY05LI06	0.074916	0.074389	0.051700	0.005755	0.111674	0.055649	0.144077	0.037105	0.047752	0.051166	0.050806	0.035310	0.003931	0.076270	0.038007	0.098401	0.025342	0.032613	
BE06ND04	0.069497	-0.001024	0.077593	0.031447	0.021155	-0.006198	0.107547	-0.023203	0.161384	0.024546	-0.000362	0.027405	0.011107	0.007472	-0.002189	0.037985	-0.008195	0.057000	
CH05ER11	0.110569	0.083815	0.086314	0.182410	0.023840	0.193753	0.038728	0.143791	-0.021124	0.021840	0.016556	0.017049	0.036030	0.004709	0.038271	0.007650	0.028402	-0.004173	
CH08AN26	0.041369	0.020826	-0.056267	0.008980	0.044453	-0.085721	0.073758	-0.002801	-0.026814	0.002408	0.001212	-0.003276	0.000523	0.002588	-0.004990	0.004294	-0.000163	-0.001561	
CK06RT15	0.048039	-0.027723	-0.031734	-0.016703	-0.011665	-0.032140	0.112781	-0.043782	-0.031327	0.005339	-0.003081	-0.003527	-0.001856	-0.001296	-0.003572	0.012533	-0.004865	-0.003481	
EK08ER20	0.107625	0.032597	-0.009865	0.061517	0.020953	-0.006587	0.153732	0.044241	-0.013144	0.054165	0.016405	-0.004965	0.030960	0.010545	-0.003315	0.077370	0.022265	-0.006615	
